Wierzcholek      Odleglosc od zrodla      Sciezka
30                2                        0 -> 68 -> 30
31                3                        0 -> 67 -> 31
32                3                        0 -> 67 -> 78 -> 32
33                2                        0 -> 33
34                3                        0 -> 67 -> 80 -> 34
35                1                        0 -> 35
36                3                        0 -> 25 -> 36
37                3                        0 -> 68 -> 103 -> 37
38                3                        0 -> 25 -> 44 -> 38
39                3                        0 -> 33 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 14 -> 50 -> 42
43                3                        0 -> 14 -> 105 -> 43
44                2                        0 -> 25 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                4                        0 -> 9 -> 86 -> 48
49                2                        0 -> 9 -> 49
50                2                        0 -> 14 -> 50
51                2                        0 -> 18 -> 51
52                2                        0 -> 25 -> 52
53                4                        0 -> 53
54                2                        0 -> 18 -> 54
55                3                        0 -> 67 -> 80 -> 55
56                3                        0 -> 25 -> 56
57                2                        0 -> 25 -> 57
58                3                        0 -> 18 -> 54 -> 58
59                3                        0 -> 25 -> 148 -> 59
60                2                        0 -> 25 -> 60
61                2                        0 -> 35 -> 61
62                3                        0 -> 25 -> 62
63                2                        0 -> 67 -> 63
64                2                        0 -> 9 -> 64
65                2                        0 -> 35 -> 65
66                2                        0 -> 68 -> 66
67                1                        0 -> 67
68                1                        0 -> 68
69                2                        0 -> 69
70                3                        0 -> 67 -> 70
71                3                        0 -> 68 -> 142 -> 71
72                3                        0 -> 135 -> 72
73                3                        0 -> 135 -> 73
74                3                        0 -> 35 -> 119 -> 74
75                3                        0 -> 67 -> 112 -> 75
76                3                        0 -> 25 -> 76
77                2                        0 -> 67 -> 77
78                2                        0 -> 67 -> 78
79                3                        0 -> 67 -> 134 -> 79
80                2                        0 -> 67 -> 80
81                3                        0 -> 145 -> 81
82                2                        0 -> 82
83                3                        0 -> 145 -> 83
84                2                        0 -> 9 -> 84
85                2                        0 -> 25 -> 85
86                3                        0 -> 9 -> 86
87                3                        0 -> 25 -> 148 -> 87
88                3                        0 -> 35 -> 88
89                2                        0 -> 14 -> 89
90                2                        0 -> 68 -> 90
91                3                        0 -> 14 -> 140 -> 91
92                3                        0 -> 145 -> 92
93                3                        0 -> 25 -> 136 -> 93
94                2                        0 -> 18 -> 94
95                3                        0 -> 82 -> 95
96                3                        0 -> 68 -> 66 -> 96
97                3                        0 -> 35 -> 97
98                3                        0 -> 67 -> 80 -> 98
99                3                        0 -> 25 -> 85 -> 99
100                3                        0 -> 25 -> 100
101                3                        0 -> 9 -> 101
102                3                        0 -> 67 -> 78 -> 102
103                2                        0 -> 68 -> 103
104                3                        0 -> 18 -> 104
105                2                        0 -> 14 -> 105
106                3                        0 -> 68 -> 142 -> 106
107                3                        0 -> 67 -> 107
108                3                        0 -> 9 -> 84 -> 108
109                3                        0 -> 41 -> 4 -> 109
110                3                        0 -> 67 -> 77 -> 110
111                3                        0 -> 67 -> 111
112                2                        0 -> 67 -> 112
113                3                        0 -> 68 -> 142 -> 113
114                2                        0 -> 25 -> 114
115                4                        0 -> 14 -> 115
116                2                        0 -> 18 -> 116
117                3                        0 -> 14 -> 140 -> 117
118                3                        0 -> 35 -> 127 -> 118
119                2                        0 -> 35 -> 119
120                3                        0 -> 9 -> 129 -> 120
121                3                        0 -> 18 -> 3 -> 121
122                3                        0 -> 14 -> 133 -> 122
123                3                        0 -> 35 -> 119 -> 123
124                3                        0 -> 67 -> 124
125                3                        0 -> 135 -> 125
126                3                        0 -> 18 -> 126
127                2                        0 -> 35 -> 127
128                3                        0 -> 9 -> 128
129                2                        0 -> 9 -> 129
130                3                        0 -> 130
131                3                        0 -> 35 -> 65 -> 131
132                3                        0 -> 41 -> 132
133                2                        0 -> 14 -> 133
134                2                        0 -> 67 -> 134
135                2                        0 -> 135
136                2                        0 -> 25 -> 136
137                3                        0 -> 18 -> 21 -> 137
138                3                        0 -> 35 -> 119 -> 138
139                3                        0 -> 139
140                2                        0 -> 14 -> 140
141                3                        0 -> 33 -> 141
142                2                        0 -> 68 -> 142
143                3                        0 -> 14 -> 105 -> 143
144                3                        0 -> 41 -> 144
145                2                        0 -> 145
146                3                        0 -> 35 -> 146
147                3                        0 -> 25 -> 148 -> 147
148                2                        0 -> 25 -> 148
149                3                        0 -> 25 -> 114 -> 149
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                3                        0 -> 145 -> 1
2                3                        0 -> 14 -> 89 -> 2
3                2                        0 -> 18 -> 3
4                2                        0 -> 41 -> 4
5                2                        0 -> 14 -> 5
6                2                        0 -> 25 -> 6
7                3                        0 -> 7
8                3                        0 -> 35 -> 8
9                1                        0 -> 9
10                3                        0 -> 18 -> 116 -> 10
11                2                        0 -> 67 -> 11
12                3                        0 -> 68 -> 103 -> 12
13                3                        0 -> 67 -> 13
14                1                        0 -> 14
15                3                        0 -> 67 -> 134 -> 15
16                3                        0 -> 67 -> 11 -> 16
17                3                        0 -> 18 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 25 -> 114 -> 20
21                2                        0 -> 18 -> 21
22                3                        0 -> 25 -> 22
23                3                        0 -> 9 -> 23
24                3                        0 -> 68 -> 24
25                1                        0 -> 25
26                2                        0 -> 68 -> 26
27                3                        0 -> 18 -> 94 -> 27
28                2                        0 -> 28
29                3                        0 -> 14 -> 50 -> 29
30                2                        0 -> 68 -> 30
31                3                        0 -> 67 -> 31
32                3                        0 -> 67 -> 78 -> 32
33                2                        0 -> 33
34                3                        0 -> 67 -> 80 -> 34
35                1                        0 -> 35
36                3                        0 -> 25 -> 36
37                3                        0 -> 68 -> 103 -> 37
38                3                        0 -> 25 -> 44 -> 38
39                3                        0 -> 33 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 14 -> 50 -> 42
43                3                        0 -> 14 -> 105 -> 43
44                2                        0 -> 25 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                4                        0 -> 9 -> 86 -> 48
49                2                        0 -> 9 -> 49
50                2                        0 -> 14 -> 50
51                2                        0 -> 18 -> 51
52                2                        0 -> 25 -> 52
53                4                        0 -> 53
54                2                        0 -> 18 -> 54
55                3                        0 -> 67 -> 80 -> 55
56                3                        0 -> 25 -> 56
57                2                        0 -> 25 -> 57
58                3                        0 -> 18 -> 54 -> 58
59                3                        0 -> 25 -> 148 -> 59
60                2                        0 -> 25 -> 60
61                2                        0 -> 35 -> 61
62                3                        0 -> 25 -> 62
63                2                        0 -> 67 -> 63
64                2                        0 -> 9 -> 64
65                2                        0 -> 35 -> 65
66                2                        0 -> 68 -> 66
67                1                        0 -> 67
68                1                        0 -> 68
69                2                        0 -> 69
70                3                        0 -> 67 -> 70
71                3                        0 -> 68 -> 142 -> 71
72                3                        0 -> 135 -> 72
73                3                        0 -> 135 -> 73
74                3                        0 -> 35 -> 119 -> 74
75                3                        0 -> 67 -> 112 -> 75
76                3                        0 -> 25 -> 76
77                2                        0 -> 67 -> 77
78                2                        0 -> 67 -> 78
79                3                        0 -> 67 -> 134 -> 79
80                2                        0 -> 67 -> 80
81                3                        0 -> 145 -> 81
82                2                        0 -> 82
83                3                        0 -> 145 -> 83
84                2                        0 -> 9 -> 84
85                2                        0 -> 25 -> 85
86                3                        0 -> 9 -> 86
87                3                        0 -> 25 -> 148 -> 87
88                3                        0 -> 35 -> 88
89                2                        0 -> 14 -> 89
90                2                        0 -> 68 -> 90
91                3                        0 -> 14 -> 140 -> 91
92                3                        0 -> 145 -> 92
93                3                        0 -> 25 -> 136 -> 93
94                2                        0 -> 18 -> 94
95                3                        0 -> 82 -> 95
96                3                        0 -> 68 -> 66 -> 96
97                3                        0 -> 35 -> 97
98                3                        0 -> 67 -> 80 -> 98
99                3                        0 -> 25 -> 85 -> 99
100                3                        0 -> 25 -> 100
101                3                        0 -> 9 -> 101
102                3                        0 -> 67 -> 78 -> 102
103                2                        0 -> 68 -> 103
104                3                        0 -> 18 -> 104
105                2                        0 -> 14 -> 105
106                3                        0 -> 68 -> 142 -> 106
107                3                        0 -> 67 -> 107
108                3                        0 -> 9 -> 84 -> 108
109                3                        0 -> 41 -> 4 -> 109
110                3                        0 -> 67 -> 77 -> 110
111                3                        0 -> 67 -> 111
112                2                        0 -> 67 -> 112
113                3                        0 -> 68 -> 142 -> 113
114                2                        0 -> 25 -> 114
115                4                        0 -> 14 -> 115
116                2                        0 -> 18 -> 116
117                3                        0 -> 14 -> 140 -> 117
118                3                        0 -> 35 -> 127 -> 118
119                2                        0 -> 35 -> 119
120                3                        0 -> 9 -> 129 -> 120
121                3                        0 -> 18 -> 3 -> 121
122                3                        0 -> 14 -> 133 -> 122
123                3                        0 -> 35 -> 119 -> 123
124                3                        0 -> 67 -> 124
125                3                        0 -> 135 -> 125
126                3                        0 -> 18 -> 126
127                2                        0 -> 35 -> 127
128                3                        0 -> 9 -> 128
129                2                        0 -> 9 -> 129
130                3                        0 -> 130
131                3                        0 -> 35 -> 65 -> 131
132                3                        0 -> 41 -> 132
133                2                        0 -> 14 -> 133
134                2                        0 -> 67 -> 134
135                2                        0 -> 135
136                2                        0 -> 25 -> 136
137                3                        0 -> 18 -> 21 -> 137
138                3                        0 -> 35 -> 119 -> 138
139                3                        0 -> 139
140                2                        0 -> 14 -> 140
141                3                        0 -> 33 -> 141
142                2                        0 -> 68 -> 142
143                3                        0 -> 14 -> 105 -> 143
144                3                        0 -> 41 -> 144
145                2                        0 -> 145
146                3                        0 -> 35 -> 146
147                3                        0 -> 25 -> 148 -> 147
148                2                        0 -> 25 -> 148
149                3                        0 -> 25 -> 114 -> 149
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                3                        0 -> 145 -> 1
2                3                        0 -> 14 -> 89 -> 2
3                2                        0 -> 18 -> 3
4                2                        0 -> 41 -> 4
5                2                        0 -> 14 -> 5
6                2                        0 -> 25 -> 6
7                3                        0 -> 7
8                3                        0 -> 35 -> 8
9                1                        0 -> 9
10                3                        0 -> 18 -> 116 -> 10
11                2                        0 -> 67 -> 11
12                3                        0 -> 68 -> 103 -> 12
13                3                        0 -> 67 -> 13
14                1                        0 -> 14
15                3                        0 -> 67 -> 134 -> 15
16                3                        0 -> 67 -> 11 -> 16
17                3                        0 -> 18 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 25 -> 114 -> 20
21                2                        0 -> 18 -> 21
22                3                        0 -> 25 -> 22
23                3                        0 -> 9 -> 23
24                3                        0 -> 68 -> 24
25                1                        0 -> 25
26                2                        0 -> 68 -> 26
27                3                        0 -> 18 -> 94 -> 27
28                2                        0 -> 28
29                3                        0 -> 14 -> 50 -> 29
30                2                        0 -> 68 -> 30
31                3                        0 -> 67 -> 31
32                3                        0 -> 67 -> 78 -> 32
33                2                        0 -> 33
34                3                        0 -> 67 -> 80 -> 34
35                1                        0 -> 35
36                3                        0 -> 25 -> 36
37                3                        0 -> 68 -> 103 -> 37
38                3                        0 -> 25 -> 44 -> 38
39                3                        0 -> 33 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 14 -> 50 -> 42
43                3                        0 -> 14 -> 105 -> 43
44                2                        0 -> 25 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                4                        0 -> 9 -> 86 -> 48
49                2                        0 -> 9 -> 49
50                2                        0 -> 14 -> 50
51                2                        0 -> 18 -> 51
52                2                        0 -> 25 -> 52
53                4                        0 -> 53
54                2                        0 -> 18 -> 54
55                3                        0 -> 67 -> 80 -> 55
56                3                        0 -> 25 -> 56
57                2                        0 -> 25 -> 57
58                3                        0 -> 18 -> 54 -> 58
59                3                        0 -> 25 -> 148 -> 59
60                2                        0 -> 25 -> 60
61                2                        0 -> 35 -> 61
62                3                        0 -> 25 -> 62
63                2                        0 -> 67 -> 63
64                2                        0 -> 9 -> 64
65                2                        0 -> 35 -> 65
66                2                        0 -> 68 -> 66
67                1                        0 -> 67
68                1                        0 -> 68
69                2                        0 -> 69
70                3                        0 -> 67 -> 70
71                3                        0 -> 68 -> 142 -> 71
72                3                        0 -> 135 -> 72
73                3                        0 -> 135 -> 73
74                3                        0 -> 35 -> 119 -> 74
75                3                        0 -> 67 -> 112 -> 75
76                3                        0 -> 25 -> 76
77                2                        0 -> 67 -> 77
78                2                        0 -> 67 -> 78
79                3                        0 -> 67 -> 134 -> 79
80                2                        0 -> 67 -> 80
81                3                        0 -> 145 -> 81
82                2                        0 -> 82
83                3                        0 -> 145 -> 83
84                2                        0 -> 9 -> 84
85                2                        0 -> 25 -> 85
86                3                        0 -> 9 -> 86
87                3                        0 -> 25 -> 148 -> 87
88                3                        0 -> 35 -> 88
89                2                        0 -> 14 -> 89
90                2                        0 -> 68 -> 90
91                3                        0 -> 14 -> 140 -> 91
92                3                        0 -> 145 -> 92
93                3                        0 -> 25 -> 136 -> 93
94                2                        0 -> 18 -> 94
95                3                        0 -> 82 -> 95
96                3                        0 -> 68 -> 66 -> 96
97                3                        0 -> 35 -> 97
98                3                        0 -> 67 -> 80 -> 98
99                3                        0 -> 25 -> 85 -> 99
100                3                        0 -> 25 -> 100
101                3                        0 -> 9 -> 101
102                3                        0 -> 67 -> 78 -> 102
103                2                        0 -> 68 -> 103
104                3                        0 -> 18 -> 104
105                2                        0 -> 14 -> 105
106                3                        0 -> 68 -> 142 -> 106
107                3                        0 -> 67 -> 107
108                3                        0 -> 9 -> 84 -> 108
109                3                        0 -> 41 -> 4 -> 109
110                3                        0 -> 67 -> 77 -> 110
111                3                        0 -> 67 -> 111
112                2                        0 -> 67 -> 112
113                3                        0 -> 68 -> 142 -> 113
114                2                        0 -> 25 -> 114
115                4                        0 -> 14 -> 115
116                2                        0 -> 18 -> 116
117                3                        0 -> 14 -> 140 -> 117
118                3                        0 -> 35 -> 127 -> 118
119                2                        0 -> 35 -> 119
120                3                        0 -> 9 -> 129 -> 120
121                3                        0 -> 18 -> 3 -> 121
122                3                        0 -> 14 -> 133 -> 122
123                3                        0 -> 35 -> 119 -> 123
124                3                        0 -> 67 -> 124
125                3                        0 -> 135 -> 125
126                3                        0 -> 18 -> 126
127                2                        0 -> 35 -> 127
128                3                        0 -> 9 -> 128
129                2                        0 -> 9 -> 129
130                3                        0 -> 130
131                3                        0 -> 35 -> 65 -> 131
132                3                        0 -> 41 -> 132
133                2                        0 -> 14 -> 133
134                2                        0 -> 67 -> 134
135                2                        0 -> 135
136                2                        0 -> 25 -> 136
137                3                        0 -> 18 -> 21 -> 137
138                3                        0 -> 35 -> 119 -> 138
139                3                        0 -> 139
140                2                        0 -> 14 -> 140
141                3                        0 -> 33 -> 141
142                2                        0 -> 68 -> 142
143                3                        0 -> 14 -> 105 -> 143
144                3                        0 -> 41 -> 144
145                2                        0 -> 145
146                3                        0 -> 35 -> 146
147                3                        0 -> 25 -> 148 -> 147
148                2                        0 -> 25 -> 148
149                3                        0 -> 25 -> 114 -> 149
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                3                        0 -> 145 -> 1
2                3                        0 -> 14 -> 89 -> 2
3                2                        0 -> 18 -> 3
4                2                        0 -> 41 -> 4
5                2                        0 -> 14 -> 5
6                2                        0 -> 25 -> 6
7                3                        0 -> 7
8                3                        0 -> 35 -> 8
9                1                        0 -> 9
10                3                        0 -> 18 -> 116 -> 10
11                2                        0 -> 67 -> 11
12                3                        0 -> 68 -> 103 -> 12
13                3                        0 -> 67 -> 13
14                1                        0 -> 14
15                3                        0 -> 67 -> 134 -> 15
16                3                        0 -> 67 -> 11 -> 16
17                3                        0 -> 18 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 25 -> 114 -> 20
21                2                        0 -> 18 -> 21
22                3                        0 -> 25 -> 22
23                3                        0 -> 9 -> 23
24                3                        0 -> 68 -> 24
25                1                        0 -> 25
26                2                        0 -> 68 -> 26
27                3                        0 -> 18 -> 94 -> 27
28                2                        0 -> 28
29                3                        0 -> 14 -> 50 -> 29
30                2                        0 -> 68 -> 30
31                3                        0 -> 67 -> 31
32                3                        0 -> 67 -> 78 -> 32
33                2                        0 -> 33
34                3                        0 -> 67 -> 80 -> 34
35                1                        0 -> 35
36                3                        0 -> 25 -> 36
37                3                        0 -> 68 -> 103 -> 37
38                3                        0 -> 25 -> 44 -> 38
39                3                        0 -> 33 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 14 -> 50 -> 42
43                3                        0 -> 14 -> 105 -> 43
44                2                        0 -> 25 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                4                        0 -> 9 -> 86 -> 48
49                2                        0 -> 9 -> 49
50                2                        0 -> 14 -> 50
51                2                        0 -> 18 -> 51
52                2                        0 -> 25 -> 52
53                4                        0 -> 53
54                2                        0 -> 18 -> 54
55                3                        0 -> 67 -> 80 -> 55
56                3                        0 -> 25 -> 56
57                2                        0 -> 25 -> 57
58                3                        0 -> 18 -> 54 -> 58
59                3                        0 -> 25 -> 148 -> 59
60                2                        0 -> 25 -> 60
61                2                        0 -> 35 -> 61
62                3                        0 -> 25 -> 62
63                2                        0 -> 67 -> 63
64                2                        0 -> 9 -> 64
65                2                        0 -> 35 -> 65
66                2                        0 -> 68 -> 66
67                1                        0 -> 67
68                1                        0 -> 68
69                2                        0 -> 69
70                3                        0 -> 67 -> 70
71                3                        0 -> 68 -> 142 -> 71
72                3                        0 -> 135 -> 72
73                3                        0 -> 135 -> 73
74                3                        0 -> 35 -> 119 -> 74
75                3                        0 -> 67 -> 112 -> 75
76                3                        0 -> 25 -> 76
77                2                        0 -> 67 -> 77
78                2                        0 -> 67 -> 78
79                3                        0 -> 67 -> 134 -> 79
80                2                        0 -> 67 -> 80
81                3                        0 -> 145 -> 81
82                2                        0 -> 82
83                3                        0 -> 145 -> 83
84                2                        0 -> 9 -> 84
85                2                        0 -> 25 -> 85
86                3                        0 -> 9 -> 86
87                3                        0 -> 25 -> 148 -> 87
88                3                        0 -> 35 -> 88
89                2                        0 -> 14 -> 89
90                2                        0 -> 68 -> 90
91                3                        0 -> 14 -> 140 -> 91
92                3                        0 -> 145 -> 92
93                3                        0 -> 25 -> 136 -> 93
94                2                        0 -> 18 -> 94
95                3                        0 -> 82 -> 95
96                3                        0 -> 68 -> 66 -> 96
97                3                        0 -> 35 -> 97
98                3                        0 -> 67 -> 80 -> 98
99                3                        0 -> 25 -> 85 -> 99
100                3                        0 -> 25 -> 100
101                3                        0 -> 9 -> 101
102                3                        0 -> 67 -> 78 -> 102
103                2                        0 -> 68 -> 103
104                3                        0 -> 18 -> 104
105                2                        0 -> 14 -> 105
106                3                        0 -> 68 -> 142 -> 106
107                3                        0 -> 67 -> 107
108                3                        0 -> 9 -> 84 -> 108
109                3                        0 -> 41 -> 4 -> 109
110                3                        0 -> 67 -> 77 -> 110
111                3                        0 -> 67 -> 111
112                2                        0 -> 67 -> 112
113                3                        0 -> 68 -> 142 -> 113
114                2                        0 -> 25 -> 114
115                4                        0 -> 14 -> 115
116                2                        0 -> 18 -> 116
117                3                        0 -> 14 -> 140 -> 117
118                3                        0 -> 35 -> 127 -> 118
119                2                        0 -> 35 -> 119
120                3                        0 -> 9 -> 129 -> 120
121                3                        0 -> 18 -> 3 -> 121
122                3                        0 -> 14 -> 133 -> 122
123                3                        0 -> 35 -> 119 -> 123
124                3                        0 -> 67 -> 124
125                3                        0 -> 135 -> 125
126                3                        0 -> 18 -> 126
127                2                        0 -> 35 -> 127
128                3                        0 -> 9 -> 128
129                2                        0 -> 9 -> 129
130                3                        0 -> 130
131                3                        0 -> 35 -> 65 -> 131
132                3                        0 -> 41 -> 132
133                2                        0 -> 14 -> 133
134                2                        0 -> 67 -> 134
135                2                        0 -> 135
136                2                        0 -> 25 -> 136
137                3                        0 -> 18 -> 21 -> 137
138                3                        0 -> 35 -> 119 -> 138
139                3                        0 -> 139
140                2                        0 -> 14 -> 140
141                3                        0 -> 33 -> 141
142                2                        0 -> 68 -> 142
143                3                        0 -> 14 -> 105 -> 143
144                3                        0 -> 41 -> 144
145                2                        0 -> 145
146                3                        0 -> 35 -> 146
147                3                        0 -> 25 -> 148 -> 147
148                2                        0 -> 25 -> 148
149                3                        0 -> 25 -> 114 -> 149
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                3                        0 -> 145 -> 1
2                3                        0 -> 14 -> 89 -> 2
3                2                        0 -> 18 -> 3
4                2                        0 -> 41 -> 4
5                2                        0 -> 14 -> 5
6                2                        0 -> 25 -> 6
7                3                        0 -> 7
8                3                        0 -> 35 -> 8
9                1                        0 -> 9
10                3                        0 -> 18 -> 116 -> 10
11                2                        0 -> 67 -> 11
12                3                        0 -> 68 -> 103 -> 12
13                3                        0 -> 67 -> 13
14                1                        0 -> 14
15                3                        0 -> 67 -> 134 -> 15
16                3                        0 -> 67 -> 11 -> 16
17                3                        0 -> 18 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 25 -> 114 -> 20
21                2                        0 -> 18 -> 21
22                3                        0 -> 25 -> 22
23                3                        0 -> 9 -> 23
24                3                        0 -> 68 -> 24
25                1                        0 -> 25
26                2                        0 -> 68 -> 26
27                3                        0 -> 18 -> 94 -> 27
28                2                        0 -> 28
29                3                        0 -> 14 -> 50 -> 29
30                2                        0 -> 68 -> 30
31                3                        0 -> 67 -> 31
32                3                        0 -> 67 -> 78 -> 32
33                2                        0 -> 33
34                3                        0 -> 67 -> 80 -> 34
35                1                        0 -> 35
36                3                        0 -> 25 -> 36
37                3                        0 -> 68 -> 103 -> 37
38                3                        0 -> 25 -> 44 -> 38
39                3                        0 -> 33 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 14 -> 50 -> 42
43                3                        0 -> 14 -> 105 -> 43
44                2                        0 -> 25 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                4                        0 -> 9 -> 86 -> 48
49                2                        0 -> 9 -> 49
50                2                        0 -> 14 -> 50
51                2                        0 -> 18 -> 51
52                2                        0 -> 25 -> 52
53                4                        0 -> 53
54                2                        0 -> 18 -> 54
55                3                        0 -> 67 -> 80 -> 55
56                3                        0 -> 25 -> 56
57                2                        0 -> 25 -> 57
58                3                        0 -> 18 -> 54 -> 58
59                3                        0 -> 25 -> 148 -> 59
60                2                        0 -> 25 -> 60
61                2                        0 -> 35 -> 61
62                3                        0 -> 25 -> 62
63                2                        0 -> 67 -> 63
64                2                        0 -> 9 -> 64
65                2                        0 -> 35 -> 65
66                2                        0 -> 68 -> 66
67                1                        0 -> 67
68                1                        0 -> 68
69                2                        0 -> 69
70                3                        0 -> 67 -> 70
71                3                        0 -> 68 -> 142 -> 71
72                3                        0 -> 135 -> 72
73                3                        0 -> 135 -> 73
74                3                        0 -> 35 -> 119 -> 74
75                3                        0 -> 67 -> 112 -> 75
76                3                        0 -> 25 -> 76
77                2                        0 -> 67 -> 77
78                2                        0 -> 67 -> 78
79                3                        0 -> 67 -> 134 -> 79
80                2                        0 -> 67 -> 80
81                3                        0 -> 145 -> 81
82                2                        0 -> 82
83                3                        0 -> 145 -> 83
84                2                        0 -> 9 -> 84
85                2                        0 -> 25 -> 85
86                3                        0 -> 9 -> 86
87                3                        0 -> 25 -> 148 -> 87
88                3                        0 -> 35 -> 88
89                2                        0 -> 14 -> 89
90                2                        0 -> 68 -> 90
91                3                        0 -> 14 -> 140 -> 91
92                3                        0 -> 145 -> 92
93                3                        0 -> 25 -> 136 -> 93
94                2                        0 -> 18 -> 94
95                3                        0 -> 82 -> 95
96                3                        0 -> 68 -> 66 -> 96
97                3                        0 -> 35 -> 97
98                3                        0 -> 67 -> 80 -> 98
99                3                        0 -> 25 -> 85 -> 99
100                3                        0 -> 25 -> 100
101                3                        0 -> 9 -> 101
102                3                        0 -> 67 -> 78 -> 102
103                2                        0 -> 68 -> 103
104                3                        0 -> 18 -> 104
105                2                        0 -> 14 -> 105
106                3                        0 -> 68 -> 142 -> 106
107                3                        0 -> 67 -> 107
108                3                        0 -> 9 -> 84 -> 108
109                3                        0 -> 41 -> 4 -> 109
110                3                        0 -> 67 -> 77 -> 110
111                3                        0 -> 67 -> 111
112                2                        0 -> 67 -> 112
113                3                        0 -> 68 -> 142 -> 113
114                2                        0 -> 25 -> 114
115                4                        0 -> 14 -> 115
116                2                        0 -> 18 -> 116
117                3                        0 -> 14 -> 140 -> 117
118                3                        0 -> 35 -> 127 -> 118
119                2                        0 -> 35 -> 119
120                3                        0 -> 9 -> 129 -> 120
121                3                        0 -> 18 -> 3 -> 121
122                3                        0 -> 14 -> 133 -> 122
123                3                        0 -> 35 -> 119 -> 123
124                3                        0 -> 67 -> 124
125                3                        0 -> 135 -> 125
126                3                        0 -> 18 -> 126
127                2                        0 -> 35 -> 127
128                3                        0 -> 9 -> 128
129                2                        0 -> 9 -> 129
130                3                        0 -> 130
131                3                        0 -> 35 -> 65 -> 131
132                3                        0 -> 41 -> 132
133                2                        0 -> 14 -> 133
134                2                        0 -> 67 -> 134
135                2                        0 -> 135
136                2                        0 -> 25 -> 136
137                3                        0 -> 18 -> 21 -> 137
138                3                        0 -> 35 -> 119 -> 138
139                3                        0 -> 139
140                2                        0 -> 14 -> 140
141                3                        0 -> 33 -> 141
142                2                        0 -> 68 -> 142
143                3                        0 -> 14 -> 105 -> 143
144                3                        0 -> 41 -> 144
145                2                        0 -> 145
146                3                        0 -> 35 -> 146
147                3                        0 -> 25 -> 148 -> 147
148                2                        0 -> 25 -> 148
149                3                        0 -> 25 -> 114 -> 149
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                3                        0 -> 145 -> 1
2                3                        0 -> 14 -> 89 -> 2
3                2                        0 -> 18 -> 3
4                2                        0 -> 41 -> 4
5                2                        0 -> 14 -> 5
6                2                        0 -> 25 -> 6
7                3                        0 -> 7
8                3                        0 -> 35 -> 8
9                1                        0 -> 9
10                3                        0 -> 18 -> 116 -> 10
11                2                        0 -> 67 -> 11
12                3                        0 -> 68 -> 103 -> 12
13                3                        0 -> 67 -> 13
14                1                        0 -> 14
15                3                        0 -> 67 -> 134 -> 15
16                3                        0 -> 67 -> 11 -> 16
17                3                        0 -> 18 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 25 -> 114 -> 20
21                2                        0 -> 18 -> 21
22                3                        0 -> 25 -> 22
23                3                        0 -> 9 -> 23
24                3                        0 -> 68 -> 24
25                1                        0 -> 25
26                2                        0 -> 68 -> 26
27                3                        0 -> 18 -> 94 -> 27
28                2                        0 -> 28
29                3                        0 -> 14 -> 50 -> 29
30                2                        0 -> 68 -> 30
31                3                        0 -> 67 -> 31
32                3                        0 -> 67 -> 78 -> 32
33                2                        0 -> 33
34                3                        0 -> 67 -> 80 -> 34
35                1                        0 -> 35
36                3                        0 -> 25 -> 36
37                3                        0 -> 68 -> 103 -> 37
38                3                        0 -> 25 -> 44 -> 38
39                3                        0 -> 33 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 14 -> 50 -> 42
43                3                        0 -> 14 -> 105 -> 43
44                2                        0 -> 25 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                4                        0 -> 9 -> 86 -> 48
49                2                        0 -> 9 -> 49
50                2                        0 -> 14 -> 50
51                2                        0 -> 18 -> 51
52                2                        0 -> 25 -> 52
53                4                        0 -> 53
54                2                        0 -> 18 -> 54
55                3                        0 -> 67 -> 80 -> 55
56                3                        0 -> 25 -> 56
57                2                        0 -> 25 -> 57
58                3                        0 -> 18 -> 54 -> 58
59                3                        0 -> 25 -> 148 -> 59
60                2                        0 -> 25 -> 60
